DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2023-10-24,Los Angeles Lakers,107.0,Denver Nuggets,119.0
2023-10-24,Phoenix Suns,108.0,Golden State Warriors,104.0
2023-10-25,Houston Rockets,86.0,Orlando Magic,116.0
2023-10-25,Boston Celtics,108.0,New York Knicks,104.0
2023-10-25,Washington Wizards,120.0,Indiana Pacers,143.0
2023-10-25,Atlanta Hawks,110.0,Charlotte Hornets,116.0
2023-10-25,Detroit Pistons,102.0,Miami Heat,103.0
2023-10-25,Minnesota Timberwolves,94.0,Toronto Raptors,97.0
2023-10-25,Cleveland Cavaliers,114.0,Brooklyn Nets,113.0
2023-10-25,New Orleans Pelicans,111.0,Memphis Grizzlies,104.0
2023-10-25,Oklahoma City Thunder,124.0,Chicago Bulls,104.0
2023-10-25,Sacramento Kings,130.0,Utah Jazz,114.0
2023-10-25,Dallas Mavericks,126.0,San Antonio Spurs,119.0
2023-10-25,Portland Trail Blazers,111.0,Los Angeles Clippers,123.0
2023-10-26,Philadelphia 76ers,117.0,Milwaukee Bucks,118.0
2023-10-26,Phoenix Suns,95.0,Los Angeles Lakers,100.0
2023-10-27,Denver Nuggets,108.0,Memphis Grizzlies,104.0
2023-10-27,Detroit Pistons,111.0,Charlotte Hornets,99.0
2023-10-27,New York Knicks,126.0,Atlanta Hawks,120.0
2023-10-27,Oklahoma City Thunder,108.0,Cleveland Cavaliers,105.0
2023-10-27,Miami Heat,111.0,Boston Celtics,119.0
2023-10-27,Toronto Raptors,103.0,Chicago Bulls,104.0
2023-10-27,Houston Rockets,122.0,San Antonio Spurs,126.0
2023-10-27,Brooklyn Nets,120.0,Dallas Mavericks,125.0
2023-10-27,Los Angeles Clippers,118.0,Utah Jazz,120.0
2023-10-27,Orlando Magic,102.0,Portland Trail Blazers,97.0
2023-10-27,Golden State Warriors,122.0,Sacramento Kings,114.0
2023-10-28,Chicago Bulls,102.0,Detroit Pistons,118.0
2023-10-28,Memphis Grizzlies,106.0,Washington Wizards,113.0
2023-10-28,New York Knicks,87.0,New Orleans Pelicans,96.0
2023-10-28,Indiana Pacers,125.0,Cleveland Cavaliers,113.0
2023-10-28,Philadelphia 76ers,114.0,Toronto Raptors,107.0
2023-10-28,Miami Heat,90.0,Minnesota Timberwolves,106.0
2023-10-28,Utah Jazz,104.0,Phoenix Suns,126.0
2023-10-29,Denver Nuggets,128.0,Oklahoma City Thunder,95.0
2023-10-29,Golden State Warriors,106.0,Houston Rockets,95.0
2023-10-29,Atlanta Hawks,127.0,Milwaukee Bucks,110.0
2023-10-29,Portland Trail Blazers,98.0,Philadelphia 76ers,126.0
2023-10-29,San Antonio Spurs,83.0,Los Angeles Clippers,123.0
2023-10-29,Los Angeles Lakers,127.0,Sacramento Kings,132.0
2023-10-30,Chicago Bulls,112.0,Indiana Pacers,105.0
2023-10-30,Boston Celtics,126.0,Washington Wizards,107.0
2023-10-30,Brooklyn Nets,133.0,Charlotte Hornets,121.0
2023-10-30,Portland Trail Blazers,99.0,Toronto Raptors,91.0
2023-10-30,Minnesota Timberwolves,113.0,Atlanta Hawks,127.0
2023-10-30,Dallas Mavericks,125.0,Memphis Grizzlies,110.0
2023-10-30,Miami Heat,114.0,Milwaukee Bucks,122.0
2023-10-30,Golden State Warriors,130.0,New Orleans Pelicans,102.0
2023-10-30,Detroit Pistons,112.0,Oklahoma City Thunder,124.0
2023-10-30,Utah Jazz,102.0,Denver Nuggets,110.0
2023-10-30,Orlando Magic,103.0,Los Angeles Lakers,106.0
2023-10-31,New York Knicks,109.0,Cleveland Cavaliers,91.0
2023-10-31,San Antonio Spurs,115.0,Phoenix Suns,114.0
2023-10-31,Orlando Magic,102.0,Los Angeles Clippers,118.0
2023-11-01,Portland Trail Blazers,110.0,Detroit Pistons,101.0
2023-11-01,Milwaukee Bucks,111.0,Toronto Raptors,130.0
2023-11-01,Washington Wizards,121.0,Atlanta Hawks,130.0
2023-11-01,Indiana Pacers,104.0,Boston Celtics,155.0
2023-11-01,Brooklyn Nets,109.0,Miami Heat,105.0
2023-11-01,Cleveland Cavaliers,95.0,New York Knicks,89.0
2023-11-01,New Orleans Pelicans,110.0,Oklahoma City Thunder,106.0
2023-11-01,Charlotte Hornets,119.0,Houston Rockets,128.0
2023-11-01,Denver Nuggets,89.0,Minnesota Timberwolves,110.0
2023-11-01,Chicago Bulls,105.0,Dallas Mavericks,114.0
2023-11-01,Memphis Grizzlies,109.0,Utah Jazz,133.0
2023-11-01,Sacramento Kings,101.0,Golden State Warriors,102.0
2023-11-01,Los Angeles Clippers,125.0,Los Angeles Lakers,130.0
2023-11-02,Toronto Raptors,99.0,Philadelphia 76ers,114.0
2023-11-02,Detroit Pistons,116.0,New Orleans Pelicans,125.0
2023-11-02,Orlando Magic,115.0,Utah Jazz,113.0
2023-11-02,San Antonio Spurs,132.0,Phoenix Suns,121.0
2023-11-03,Cleveland Cavaliers,116.0,Indiana Pacers,121.0
2023-11-03,New York Knicks,105.0,Milwaukee Bucks,110.0
